表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト+ハッシュタグ
秋田県の景色を背景に「Kitazuna:未来杉の守護者」のロゴが輝くタイトル画面、レトロゲーム風のドット絵調、明るく温かみのある配色,"プロジェクト\n始動","秋田の魅力を\n世界へ","緒方孝治氏によるキャラクターデザインのラフスケッチ、くにおくんスタイルの2.5頭身キャラクター、鉛筆で描かれた温かみのある線画","緒方孝治\nデザイン","くにおくん\nシリーズの\n巨匠","秋田県の地図に男鹿・湯沢・秋田市・三湖・大館・鹿角の6つのエリアが色分けされた図、実在する観光地のアイコン配置","聖地巡礼\nゲーム","秋田県全域を\n冒険する物語","ゲーム開発中の画面、キャラクターが秋田の風景の中を歩くシーン、レトロ調のドット絵背景","AI×レトロ","伝統と現代の\n融合","秋田を舞台にした本格RPG「Kitazuna:未来杉の守護者」始動。緒方孝治氏デザイン、6つの地域を巡る聖地巡礼型ゲームで秋田の魅力を世界に発信します。
#Kitazuna
#秋田ゲーム
#緒方孝治
#くにおくん
#レトロゲーム
#聖地巡礼
#ゲーム開発
#if塾"
内向的な大学生・杉野健太が新幹線内で悩む表情のイラスト、リアル調の淡い水彩画タッチ、白いTシャツを着た20代男性,"主人公\n健太","内向的な\n大学生の冒険","健太のキャラクター設定資料、正面・横顔・後ろ姿の3方向図、くにおくんスタイルの2.5頭身デフォルメ、茶髪で白Tシャツ",キャラ設定,"緒方孝治氏\nデザインの\n温かみ","健太の表情差分5種類、通常・喜び・悲しみ・怒り・驚きの感情を表現、それぞれに感情色システムの色が背景に配置",表情差分,"感情を色で\n表現する","健太がドット絵になった歩行アニメーション3フレーム、32×32pxサイズ、滑らかな動きのアニメーションGIF",ドット絵化,"レトロ調に\n変換された健太","主人公・杉野健太の制作完了。内向的な大学生が祖父の依頼で秋田へ。表情差分5種、ドット絵アニメーション完成、感情色システムで豊かな感情表現を実現しました。
#杉野健太
#主人公
#キャラクターデザイン
#表情差分
#ドット絵
#感情色システム
#ゲーム制作
#くにおくんスタイル"
男鹿半島のなまはげ館の写真、伝統的な茅葺き風の日本家屋、ドット絵調に加工、茶色と緑の配色,"なまはげ\n取材","男鹿の伝統を\n訪ねて","実際のなまはげの面の写真、青い鬼面に赤い髪、角が2本、迫力ある表情のクローズアップ","本物の\nなまはげ","伝統の\n迫力","なぎさのキャラクターデザインラフ、なまはげの面を被った戦士スタイル、藁の装束と包丁を持つ勇ましいポーズ、鉛筆スケッチ","なぎさ\nラフ案","伝統×現代の\n融合デザイン","なぎさの完成カラーイラスト、青いなまはげ面に赤髪、黄色い藁装束、右手に包丁・左手に提灯付き木棒、くにおくんスタイル2.5頭身","なぎさ\n完成","男鹿の守護者\n誕生","男鹿のなまはげをモチーフにしたキャラクター「なぎさ」制作完了。現地取材で本物の迫力を体感、伝統の力強さを残しつつ親しみやすいデザインに仕上げました。
#なまはげ
#なぎさ
#男鹿半島
#キャラクター完成
#伝統文化
#秋田
#ゲームキャラ
#くにおくんスタイル"
なぎさの表情差分7種類、通常・喜び・悲しみ・怒り・困惑・決意・希望、それぞれ異なる感情色の背景,"表情差分\n制作","7種類の\n豊かな感情","なぎさのドット絵アイドルアニメーション3フレーム、64×64pxサイズ、呼吸するように軽く揺れる動き","アイドル\nモーション","待機時の\n自然な動き","なぎさのドット絵歩行アニメーション2フレーム、足を交互に動かし腕を振る歩行動作、滑らかなループ","ウォーク\nモーション","移動時の\nアニメーション","なぎさのドット絵攻撃アニメーション3フレーム、包丁を振り上げる予備動作から斬撃までの流れ、エフェクト付き","アタック\nモーション","戦闘時の\n迫力演出","なぎさのアニメーション素材が完成。表情差分7種、アイドル・ウォーク・アタックの各モーション、全てドット絵で丁寧に制作、ゲーム内で生き生きと動きます。
#なぎさアニメ
#ドット絵
#モーション制作
#表情差分
#ゲームアニメ
#フレームアニメ
#制作完了
#レトロゲーム"
小野小町の肖像画と歴史資料、平安時代の優雅な装束、古典的な日本画調,小野小町,"平安美人の\n伝説","湯沢市の小町堂の写真、伝統的な寺院建築、ドット絵調の背景イラスト、緑豊かな環境",小町堂取材,"湯沢の名所を\n訪問","小町のキャラクターデザインラフ、黒髪ツインテール・編笠・扇子を持つ元気な少女、くにおくんスタイル2.5頭身",小町ラフ,"平安×現代の\n美少女","小町の完成カラーイラスト、赤い着物に白い帯、金色のアクセント、扇子と編笠、活発で美しいポーズ",小町完成,"湯沢の秋田美人\nキャラ","湯沢を代表する小野小町をモチーフにした「小町」完成。平安の優雅さと現代の活発さを融合、赤・白・金の配色で華やかに、扇子と編笠が特徴的です。
#小野小町
#小町
#湯沢
#秋田美人
#キャラクター
#平安美人
#ゲーム制作
#くにおくんスタイル"
小町の表情差分5種類、通常・喜び・悲しみ・怒り・愛情、感情色システムに対応した背景色,小町の表情,"豊かな感情\n表現","小町のドット絵立ちポーズ、64×64px、赤い着物と扇子が特徴的、透過PNG背景",小町ドット,"立ち絵\nバージョン","小町がゲーム内会話シーンに登場している画面、顔グラフィックと会話ウィンドウ、感情漢字「喜」が黄色く光る","会話シーン\n実装","感情色が\n背景に表示","健太と小町が並んで立つゲーム画面、秋田の風景背景、2人のキャラクターが冒険の仲間として",仲間が増加,"冒険が\n広がる","小町のゲーム内実装完了。表情差分5種、ドット絵立ち絵、会話シーン用顔グラフィック、健太に続く2人目の仲間として物語を盛り上げます。
#小町実装
#ゲーム画面
#会話システム
#仲間キャラ
#感情色
#ドット絵
#開発進捗
#Kitazuna"
秋田犬の写真、オレンジと白の毛色、優しい表情、実写の高画質写真,秋田犬,忠誠の象徴,"忠犬ハチ公の銅像写真、大館駅前、歴史的なモニュメント、観光名所",ハチ公,"忠犬物語の\n舞台・大館","秋田のキャラクターデザインラフ、秋田犬を擬人化、耳と尻尾が特徴、渦巻き模様、くにおくんスタイル",秋田ラフ,"犬×人の\n融合デザイン","秋田の完成カラーイラスト、オレンジ・ベージュ・白の配色、赤いバンダナと青い袴、渦巻き模様が体側と尻尾に",秋田完成,"大館の忠犬\nキャラ誕生","大館の秋田犬をモチーフにした「秋田」完成。忠犬ハチ公の忠誠心を受け継ぐ優しく頼れる仲間、オレンジの毛色と渦巻き模様が特徴的なデザインです。
#秋田犬
#秋田
#大館
#ハチ公
#忠犬
#キャラクター完成
#擬人化
#くにおくんスタイル"
秋田の表情差分5種類、通常・喜び・悲しみ・怒り・驚き、犬らしい愛らしい表情,秋田の表情,"犬らしい\n愛らしさ","秋田のドット絵アイドルアニメーション、尻尾を揺らす動き、64×64px、3フレーム",尻尾の動き,"犬らしい\n仕草","秋田のドット絵歩行アニメーション、四足歩行風の動き、2フレーム、滑らかなループ",歩行モーション,"犬らしい\n動き","秋田のドット絵ジャンプアニメーション、飛び跳ねる動作、1フレーム、元気な印象",ジャンプ,"元気いっぱいの\n秋田","秋田のアニメーション素材完成。表情差分5種、尻尾を揺らすアイドル、犬らしい歩行、元気なジャンプ、愛らしい動きでプレイヤーを癒します。
#秋田アニメ
#ドット絵
#モーション
#秋田犬
#アニメーション
#犬キャラ
#制作完了
#可愛い"
稲庭うどんの製麺工程写真、職人が手延べする様子、伝統的な作業場、実写の高画質,稲庭うどん,"400年の\n伝統技術","稲庭うどんの完成品写真、美しい細麺、透明感のある白、つるつるの質感",美しい細麺,"秋田の\n誇るグルメ","稲庭のキャラクターデザインラフ、職人風の装い、うどんモチーフの装飾、くにおくんスタイル2.5頭身",稲庭ラフ,"職人の技を\nキャラに","稲庭の完成カラーイラスト、白と茶色の配色、エプロン姿、うどんの束を持つ、真面目な表情",稲庭完成,"湯沢の職人\nキャラ","稲庭うどんをモチーフにした「稲庭」完成。400年続く伝統の職人技をキャラクターで表現、真面目で誇り高い職人気質が魅力です。
#稲庭うどん
#稲庭
#湯沢
#職人
#伝統技術
#キャラクター
#秋田グルメ
#くにおくんスタイル"
竿燈まつりの写真、夜空に輝く提灯、演技者が竿燈を掲げる迫力のシーン、実写の高画質,竿燈まつり,"秋田の夏の\n風物詩","竿燈の提灯のクローズアップ写真、金色に輝く提灯、伝統的な文様、美しい光",提灯の光,祭りの華,"関東のキャラクターデザインラフ、竿燈モチーフの衣装、提灯柄の装飾、躍動感あるポーズ、くにおくんスタイル",関東ラフ,"祭りの情熱を\nキャラに","関東の完成カラーイラスト、金色と赤の配色、提灯柄の服、竿燈を掲げるポーズ、笑顔で活発",関東完成,"秋田市の\n祭りキャラ","竿燈まつりをモチーフにした「関東」完成。祭りの躍動感と情熱をキャラクターで表現、金と赤の華やかな配色、提灯モチーフが特徴です。
#竿燈まつり
#関東
#秋田市
#祭り
#伝統文化
#キャラクター完成
#夏祭り
#くにおくんスタイル"
