動画場面1説明,動画場面1テキストエリア1,動画場面1テキストエリア2,動画場面2説明,動画場面2テキストエリア1,動画場面2テキストエリア2,動画場面3説明,動画場面3テキストエリア1,動画場面3テキストエリア2,投稿のテキスト+ハッシュタグ
白い画面から健太のキャラクターラフ画がゆっくりと浮かび上がる画像。カメラは上から下にゆっくりパンし、鉛筆のタッチが際立つようにする,始動,Kitazuna\nプロジェクト,鉛筆で健太のキャラクター下絵を描いている手元の静止画。カメラは左上から右下に斜めにパンし、鉛筆の動きを加える,下絵から,一本の線が\n物語を紡ぐ,完成した健太のキャラクターデザインが中央に配置された画像。画像が徐々にズームインし、キャラクターの表情がクローズアップされる,キャラ誕生,主人公\n杉野健太,"完成はまだ先ですが、少しずつ形になってきたキャラクターたち。緒方孝治氏デザインのもと、Kitazunaプロジェクトが本格始動しました。
#Kitazuna
#ゲーム制作
#キャラクターデザイン
#緒方孝治
#開発開始
#秋田ゲーム
#インディーゲーム
#下絵"
ナマハゲの面がアップで配置された迫力ある静止画。カメラはゆっくり前進し、面の質感と迫力を強調する,なまはげ,伝統の力,ナギサのキャラクター線画を描いている作業画面の静止画。カメラは右から左にパンし、線を描く手の動きを加える,線画制作,伝統×現代の\n融合キャラ,完成したナギサが中央でポーズを決めている画像。カメラはナギサの周りを時計回りに360度回転する,ナギサ登場,男鹿の守護者,"なまはげをモチーフにした新キャラクター「ナギサ」の制作中。伝統的な力強さと親しみやすさを両立したデザインを目指しています。
#なまはげ
#ナギサ
#キャラクター制作
#男鹿
#伝統文化
#デザイン中
#ゲーム開発
#秋田"
カラーパレットと絵筆が整然と並ぶ作業デスクの俯瞰画像。カメラは上から下にゆっくりパンし、作業道具の配置を見せる,色塗り開始,命を吹き込む,ナギサのキャラクターに基礎色を塗っている制作画面の静止画。カメラはゆっくり右にパンし、色が塗られていく様子を強調,配色を決める,秋田の海と山\nイメージした\n青と緑,影と光を加えて立体感が増したナギサの画像。カメラはズームインしながら、仕上がりの質感を見せる,仕上げ工程,どんどん\nリアルに,"ナギサの色塗り工程を公開。秋田の豊かな自然をイメージした配色で、キャラクターに命を吹き込んでいきます。完成が楽しみです。
#色塗り
#イラスト制作
#配色
#制作過程
#ゲームアート
#開発中
#なまはげキャラ
#秋田の色"
完成したナギサのキャラクター立ち絵が中央に配置された画像。画像が360度回転して全身を見せる演出,完成,ナギサ\nお披露目,ナギサの表情差分（喜怒哀）が横並びで配置された画像。カメラは左から右にパンし、各表情を順に見せる,表情差分,感情を表現,ゲーム画面でナギサが立っている実装テスト画面の静止画。カメラはゆっくりズームインし、ゲーム内の様子を強調,ゲームに実装,動き出した,"ナギサ、ついに完成しました。表情差分も作成完了。ゲーム内での実装テストも順調です。これから他のキャラも順次制作していきます。
#ナギサ完成
#キャラクターお披露目
#表情差分
#ゲーム実装
#なまはげ
#制作完了
#Kitazuna
#開発進捗"
平安装束の資料写真が美しく配置された画像。カメラは上から下にゆっくりパンし、装束の細部を見せる,小野小町,歴史を学ぶ,コマチのキャラクター絵コンテが描かれた紙の画像。カメラは左上から右下に斜めにパンし、構図の検討過程を見せる,絵コンテ,平安美人×\nSNS時代,コマチがスマートフォンを持つ下絵が完成した画像。カメラはズームインしながら、現代的な要素と伝統の融合を強調,現代との融合,新しい\n小野小町,"次のキャラは湯沢を代表する「コマチ」。平安時代の優雅さと現代のSNS文化を融合させた、新しい小野小町像を制作中です。
#小野小町
#コマチ
#絵コンテ
#キャラデザ
#湯沢
#平安美人
#SNS
#制作中"
田沢湖の美しいブルーの湖面が広がる風景写真。カメラは前進しながら、湖の透明感と神秘性を強調,現地取材,リアルを追求,男鹿半島の海岸線を歩く人物のシルエットの画像。カメラは左から右にパンし、海岸線の美しさを見せる,ロケハン,秋田の風景を\n記録する,撮影した秋田の風景写真を見ながら背景デザインを描く作業画面。カメラはゆっくり右にパンし、資料と作業の様子を見せる,ゲームに再現,実在する場所,"ゲームに登場する場所を実際に訪問して取材中。秋田の美しい風景をゲーム内で忠実に再現するため、写真や動画で記録しています。
#現地取材
#田沢湖
#男鹿半島
#ロケハン
#聖地巡礼
#ゲーム背景
#秋田観光
#リアル再現"
ドット絵エディタで秋田駅を制作している画面の静止画。カメラはゆっくりズームインし、ピクセルの配置を見せる,背景制作,ドット絵の世界,レトロゲーム風の街並み背景が徐々に完成していく様子を段階的に見せる画像。カメラは上から下にパンする,ピクセル\nアート,懐かしい\nファミコン風,完成した背景に健太のドット絵キャラクターが立っているゲーム画面。カメラはゆっくり右にパンし、全体の雰囲気を見せる,背景完成,秋田の街を\n再現,"ゲーム背景の制作開始。レトロゲーム風のドット絵で秋田の街並みを表現。懐かしさと新しさが共存する世界観です。
#ドット絵
#背景イラスト
#レトロゲーム
#秋田駅
#ピクセルアート
#ゲーム背景
#制作中
#ファミコン風"
AIツールの画面にプロンプト入力している作業画面の静止画。カメラはゆっくり下にパンし、入力内容を見せる,AI活用,効率的な制作,AIで生成されたキャラクターの多角度イラストが4枚並んだ画像。カメラは左から右にパンし、各角度を順に見せる,AIで生成,様々な角度を\n一瞬で,生成した画像を手作業で調整している作業画面の静止画。カメラはズームインし、細かな修正作業を強調,人の手で調整,最後は職人技,"AI技術も活用して効率的にキャラクター制作を進行中。AIで生成した素材をベースに、人の手で丁寧に調整し個性を加えます。
#AI活用
#イラスト生成
#効率化
#キャラクター制作
#AI技術
#クリエイティブ
#ゲーム開発
#制作手法"
十二単の美しい色見本が並ぶ資料写真。カメラは上から下にゆっくりパンし、色の重なりの美しさを見せる,十二単,色の美学,コマチのキャラクターに色を塗っている制作画面の静止画。カメラは右から左にパンし、配色の工程を見せる,色塗り中,華やかな\n平安カラー,ほぼ完成したコマチの彩色イラストが中央に配置された画像。画像がゆっくり回転し、全体の仕上がりを見せる,完成間近,仕上げ段階,"コマチの色塗りが進行中。平安時代の十二単の美しい色の重なりを現代的にアレンジ。華やかで上品なキャラクターになりそうです。
#コマチ制作
#十二単
#配色
#平安時代
#色塗り
#イラスト
#小野小町
#制作進行中"
完成したコマチの立ち絵が中央に配置され、様々な表情が切り替わる画像。カメラはゆっくりズームインする,コマチ完成,2体目の仲間,コマチのゲーム内立ち絵が会話画面に表示されている静止画。カメラは前進しながら、会話UIの完成度を見せる,会話シーン,物語が広がる,健太とコマチが横並びで立っているゲーム画面の静止画。カメラは右から左にパンし、二人のキャラクターを見せる,仲間が増える,冒険が始まる,"コマチ完成。健太に続く2人目の仲間が誕生しました。ゲーム内での会話シーン実装テストも順調。キャラが増えるたび物語が広がります。
#コマチ完成
#キャラ追加
#小野小町
#ゲーム実装
#仲間キャラ
#Kitazuna
#湯沢
#開発進捗"
会話画面で「喜」の文字が黄色く光っている画像。カメラはゆっくりズームインし、感情色システムを強調,感情色,革新的\nシステム,「怒」の文字が赤く「悲」が青く光る様子が並んだ画像。カメラは左から右にパンし、各感情を順に見せる,漢字と色,感情を\n一文字で表現,様々な感情漢字が虹色に並ぶカラーパレットの画像。カメラは上から下にパンし、システムの多様性を見せる,日本文化,独自のUI,"Kitazunaの特徴的なシステム「感情色」。会話中の感情を漢字一文字と色で表現します。日本らしさを大切にした独自のUIです。
#感情色システム
#UI
#漢字
#日本文化
#ゲームシステム
#独自性
#革新的
#表現方法"
職人が稲庭うどんを手延べしている伝統の技の画像。カメラは前進しながら、職人の手元に焦点を合わせる,稲庭うどん,400年の技,イナニワのキャラクター下絵が描かれた紙の画像。カメラは上から下にゆっくりパンし、デザインの特徴を見せる,イナニワ制作,職人の心を\nキャラに,イナニワのデザイン案3パターンが横並びで配置された画像。カメラは左から右にパンし、各案を比較,デザイン検討,どれが\nいいかな,"次は稲庭うどんをモチーフにした「イナニワ」制作開始。400年の伝統を持つ職人技をキャラクターでどう表現するか、デザイン案を検討中。
#稲庭うどん
#イナニワ
#キャラデザ
#職人
#伝統技術
#秋田グルメ
#ゲームキャラ
#制作開始"
竿燈まつりの提灯が夜空に輝く美しい風景写真。カメラは下から上にゆっくりパンし、提灯の壮大さを見せる,竿燈まつり,秋田の夏,竿燈の演技者にインタビューしている取材風景の画像。カメラは左から右にパンし、現場の臨場感を見せる,現地の声,祭りへの想い,カントのキャラクター線画を描いている作業画面の静止画。カメラはズームインし、線画の特徴を強調,カント制作,祭りの情熱,"竿燈まつりの取材に行ってきました。実際の祭りの迫力と演技者の想いを肌で感じ、ゲームにどう落とし込むか構想を練っています。
#竿燈まつり
#現地取材
#秋田の祭り
#夏祭り
#伝統文化
#ロケハン
#取材
#秋田市"
